ID,Publisher_Name_Arabic,Country_Arabic,Database
A1,الدار الأهلية للنشر والتوزيع,الأردن,A
A2,سلطنة عُمان – ضيف الشرف A2,سلطنة عمان,A
A3,وزارة الثقافة والرياضة والشباب - سلطنة عمان,سلطنة عمان,A
A4,جمعية المحافظة على القرآن الكريم,الأردن,A
A5,عصير الكتب,مصر,A
A6,شركة نبراس الحياة,الأردن,A
A7,دار الكتب الجامعية,الأردن,A
A8,مكتبة الخانجي,الأردن,A
A9,مكتبة الرشد,السعودية,A
A10,مؤسسة إبداع للإعلام والنشر,مصر,A
A11,هوم إبليد تراينينغ,لبنان,A
A12,شركة دار مكتبة المعارف ناشرون,لبنان,A
B22,دار الملايين للطباعة و النشر و التوزيع,سوريا,B
A13,جمعية دار الكتاب المقدس,الأردن,A
B38,العائدون للنشر و التوزيع ,الأردن,B
A14,العلم للجميع - البرزنجي للفنون واللغات,الأردن,A
A15,هيئة الشارقة,الإمارات العربية المتحدة,A
A16,وزارة الثقافة الفلسطينية,فلسطين,A
A17,مركز البحوث والدراسات العمانية في جامعة آل البيت,الأردن,A
B32,دار الجنان للنشر و التوزيع,الأردن,A
A18,معهد العالمي للفكر الإسلامي,الأردن,A
A19,دار الرياحين للنشر والتوزيع,الأردن,A
A20,مركز التفكر للتدريب والتطوير التربوي,الأردن,A
A21,دار أصالة للنشر,لبنان,A
A22,مركز إبصار للنشر والتوزيع,مصر,A
A23,دار رسلان / دار علاء الدين,سوريا,A
A25,زمزم ناشرون وموزعون,الأردن,A
A26,المركز العربي للأبحاث ودراسة السياسات,قطر,A
B25,دار الشروق,مصر,B
A27,المجلس الوطني للثقافة والفنون والآداب,الكويت,A
A28,دار النشر لجامعة بكين لإعداد المعلمين,الصين,A
A29,وزارة الإعلام-دولة الكويت,الكويت,A
A30,دار الجندي للنشر والتوزيع,فلسطين,A
A31,فنون التعليم للنشر والتوزيع,الأردن,A
A32,دار الفكر للطباعة والنشر والتوزيع,سوريا,A
A33,منشدي المعارف,لبنان,A
A34,نور حوران للدراسات والنشر والتراث,سوريا,A
A35,الدار المصرية اللبنانية,مصر,A
A36,دار عالم الثقافة للنشر والتوزيع,الأردن,A
A37,دار غيداء للنشر والتوزيع,الأردن,A
A38,دار مفكرون الدولية للنشر والتوزيع,مصر,A
A39,دار المايا للنشر والتوزيع,الأردن,A
A40,شركة الناشر للدعاية والإعلان ودار طباق للنشر والتوزيع,فلسطين,A
A41,دار الرافدين,لبنان,A
A42,دار اللؤلؤة للنشر والتوزيع,مصر,A
A43,شركة الوراق للنشر المحدودة,المملكة المتحدة,A
A44,دار صفصافة للنشر والتوزيع,مصر,A
A45,كتب نون:مؤسسة ناهد الشوا الثقافية,كندا,A
A46,جبل عمان ناشرون,الأردن,A
A47,دار الرواية العربية للنشر والتوزيع,الأردن,A
A48,دار يافا العلمية للنشر,الأردن,A
A49,المركز المصري لتبسيط العلوم,مصر,A
A50,دار البينة للنشر والتوزيع,الأردن,A
A51,دار ورد للنشر والتوزيع,سوريا,A
A52,دار الساقي للتوزيع والنشر,لبنان,A
A53,شركة كيان للنشر والتوزيع,مصر,A
A54,دار المستقبل للنشر والتوزيع,مصر,A
A55,دار المشرق العربي,مصر,A
B31,دار الخليج للنشر و التوزيع,الأردن,B
A56,مكتبة سمير منصور للطباعة والنشر والتوزيع,فلسطين,A
A57,آفاق للنشر والتوزيع,مصر,A
A58,دار الإسراء للنشر والتوزيع,الأردن,A
B36,دار الفكر ناشرون,الأردن,B
A59,دار الثقافة العربية الإسلامية للنشر والتوزيع,الأردن,A
A60,دار زاهر دنديس للنشر والتوزيع,الأردن,A
A61,كتوبيا,مصر,A
A62,دار ممدوح عدوان للنشر والتوزيع,سوريا,A
A63,الهيئة العالمية لتدبر القرآن الكريم,قطر,A
A64,دار العين للنشر والتوزيع,مصر,A
A65,أقلام عربية للنشر والتوزيع,مصر,A
A66,بيت الحكمة للنشر,سوريا,A
A67,الشبكة العربية للأبحاث والنشر,لبنان,A
A33,منتدى المعارف,لبنان,A
B39,منشورات زين الحقوقية,لبنان,B
A68,دار يو إم للطباعة والنشر والترجمة والتوزيع,مصر,A
C45,البوابة الذهبية,لبنان,C
A69,شركة نسمات للتكنولوجيا المعلومات والنشر والتوزيع,مصر,A
A70,دار ربيع للنشر ( إمارات -  سوريا ),الإمارات العربية المتحدة,A
A71,أوستن ماكولي للنشر,الإمارات العربية المتحدة,A
A72,مركز التوثيق الملكي,الأردن,A
A73,الهيئة العامة المصرية للكتاب,مصر,A
A74,دار كنوز المعرفة للنشر والتوزيع,الأردن,A
B1,دار فضاءات للنشر والتوزيع,الأردن,B
B2,دار الرعاة للدراسات والنشر,فلسطين,B
B3,منشورات الجمل,الإمارات العربية المتحدة,B
B4,رابطة الكتاب الأردنيين,الأردن,B
B5,دار منار الفكر للنشر والتوزيع,تركيا,B
B6,ماستر للنشر والتوزيع,مصر,B
B7,المركز العربي للدراسات والبحوث العلمية للنشر والتوزيع,مصر,B
B8,مجموعة زاد للنشر,السعودية,B
B26,شركة وجوه للنشر و التوزيع,السعودية,B
B9,اتحاد الكتاب الأردنيين,الأردن,B
B10,دار النهار للنشر والتوزيع,لبنان,B
B11,مؤسسة دار المعارف,مصر,B
B12,دار العصماء,سوريا,B
B13,السراج للنشر والتوزيع,مصر,B
B14,دار ابن عباس للنشر والتوزيع,مصر,B
B15,مركز الأدب العربي للنشر والتوزيع,السعودية,B
B16,مركز الزيتونة للدراسات والاستشارات,لبنان,B
B17,وزارة الثقافة - مركز البيع,الأردن,B
B18,دار الشروق للنشر والتوزيع,الأردن,B
B19,دار المعرفة للنشر والتوزيع,مصر,B
B20,شركة ميديا بروتك للنشر والتوزيع,مصر,B
B21,ديوان العرب للنشر والتوزيع,مصر,B
B41,دار الفارابي,لبنان,B
B42,إتقان للخدمات التربوية,الأردن,B
B43,مكتبة أولاد الشيخ للتراث,مصر,B
B44,دار العلم والإيمان للنشر والتوزيع,مصر,B
B45,أطفال ومعلمون للنشر والتوزيع,الإمارات العربية المتحدة,B
B37,مكتبة عبق المسك للنشر و التوزيع,الأردن,B
B46,شركة الإبداع الفكري للنشر والتوزيع,الكويت,B
B47,دار الفارس للنشر والتوزيع,الأردن,B
B48,دار سبيل للنشر والتوزيع,مصر,B
B49,إنسيكلوميديا,لبنان,B
B50,دار كلمات,الكويت,B
B51,دار شهرزاد للنشر والتوزيع,الأردن,B
B52,زحمة كتاب للثقافة والنشر,مصر,B
B53,دار فاروس للنشر والتوزيع,مصر,B
B54,دار الجامعة الجديدة,مصر,B
B55,شركة واحة الإبداع للحلول التعليمية,الأردن,B
B56,الراوي للنشر والتوزيع,مصر,B
B57,مؤسسة البصائر للدراسات والنشر,تركيا,B
B58,دار الإرشاد للنشر,سوريا,B
B59,الوصل للطباعة والنشر والتوزيع م م ح,الإمارات العربية المتحدة,B
B60,مؤسسة حورس الدولية,مصر,B
B61,دار المعرفة,سوريا,B
B62,دار كتاب للنشر والتوزيع,مصر,B
B63,مدارات للأبحاث والنشر,مصر,B
B64,بوملحة للنشر والتوزيع م م ح,الإمارات العربية المتحدة,B
C1,وزارة الثقافة الأردنية - المكتبة الوطنية,الأردن,C
C2,أمانة عمان الكبرى,الأردن,C
C3,دائرة الثقافة بالشارقة,الإمارات العربية المتحدة,C
C4,المجلس العشائري الشركسي الأردني,الأردن,C
C5,اتحاد العام للكتاب والأدباء الفلسطينيين,فلسطين,C
C6,جمعية يوم القدس,الأردن,C
C7,دار المعين للنشر والتوزيع,الأردن,C
C8,مؤسسة إبداع للترجمة والنشر والتوزيع,مصر,C
C9,مكتبة النافذة,مصر,C
C10,دار المنهاج القويم للنشر والتوزيع,سوريا,C
B29,تورن ذا بيج,لبنان,B
C11,المكتبة الحديثة ناشرون,لبنان,C
C12,دار السدرة للنشر,مصر,C
C13,دار شمس للنشر والتوزيع,الإمارات العربية المتحدة,C
C14,دار أثر للنشر والتوزيع,السعودية,C
C15,دار آل ياسر للطباعة والنشر,سوريا,C
C16,معرض الدوحة للكتاب,قطر,C
C17,الدار العربية للعلوم ناشرون,لبنان,C
C18,شركة دار المنهل ناشرون ذ.م.م,الأردن,C
C19,دار الغوثاني,سوريا,C
C20,مركز المحروسة للنشر والخدمات الصحفية والمعلومات,مصر,C
C21,ألف باء تاء للنشر والتوزيع,الأردن,C
C22,دار صفاء للطباعة والنشر والتوزيع,الأردن,C
C23,مركز دراسات الوحدة العربية,لبنان,C
B35,دار دون للنشر و التوزيع,مصر,B
C24,دار شأن للنشر والتوزيع,الأردن,C
C25,دار فرست بوك للنشر والتوزيع,مصر,C
C26,نوفا بلس للنشر والتوزيع,الكويت,C
C27,السلوى للدراسات والنشر,الأردن,C
C28,مؤسسة الوراق للنشر والتوزيع,الأردن,C
B23,مكتبة البحر الأحمر,مصر,B
C29,دايموند للنشر والتوزيع,مصر,C
C30,دار المنهاج للنشر والتوزيع,السعودية,C
C31,شركة المطبوعات للتوزيع والنشر,لبنان,C
C32,دار كنوز إشبيليا,السعودية,C
C33,دار أسامة للنشر والتوزيع,الأردن,C
C34,المركز الأكاديمي للطباعة والنشر,مصر,C
C35,دار الفرقد للنشر والتوزيع,سوريا,C
C36,دار الفينيق للنشر والتوزيع,الأردن,C
C37,نهضة مصر للنشر,مصر,C
C38,كيان للنشر kayan publishing,مصر,C
C39,دار اليازوري العلمية للنشر والتوزيع,الأردن,C
B24,نبلاء ناشرون و موزعون,الأردن,B
C40,دار نينوى للدراسات والنشر والتوزيع,سوريا,C
C41,دار زهدي للنشر والتوزيع,الأردن,C
C42,دار البيروني للنشر والتوزيع,الأردن,C
C43,دار سفيان للنشر والتوزيع,الأردن,C
C44,دار ارتقاء للنشر و التوزيع ,الإمارات العربية المتحدة,C
C45,الدواية الذهبية,لبنان,C
C46,دار الياسمين للنشر والتوزيع,الأردن,C
C47,دار آمنة للنشر والتوزيع,الأردن,C
C48,الشركة المصرية للاستيراد والتسويق ( ايمك ),مصر,C
C49,المعرفة اللامحدودة للنشر والتوزيع,مصر,C
C50,الآن ناشرون وموزعون,الأردن,C
C51,دار جبرا للنشر والتوزيع,الأردن,C
C52,دار المأمون للنشر والتوزيع,الأردن,C
C53,مؤسسة عبد الحميد شومان,الأردن,C
C54,دار غد الأجيال للنشر والتوزيع,الأردن,C
B30,دار و مكتبة الحامد للنشر و التوزيع,الأردن,B
C55,مكتبة الرقيم,الأردن,C
C56,مركز اليرموك للتوزيع,الأردن,C
C57,دار أكورا للنشر والتوزيع,المغرب,C
B33,مؤسسة قطر الندى للثقافة و الإعلام و النشر,المغرب,B
C58,مكتبة كل شيء - حيفا,فلسطين,C
B34,دارك للنشر و التوزيع,مصر,B
B40,الكرمة للنشر,مصر,B
B28,دار الندى للاستثمار الثقافي,مصر,B
